filename,gd_year,title,doi,pages,authors
GD00_5-18.pdf,GD00,User Preference of Graph Layout Aesthetics: A UML Study,10.1007/3-540-44541-2_2,5-18,Helen C. Purchase; Jo-Anne Allder; David Carrington
GD00_19-30.pdf,GD00,A User Study in Similarity Measures for Graph Drawing,10.1007/3-540-44541-2_3,19-30,Stina Bridgeman; Roberto Tamassia
GD00_31-36.pdf,GD00,"Interactive Partitioning (System Demonstration, Short)",10.1007/3-540-44541-2_4,31-36,Neal Lesh; Joe Marks; Maurizio Patrignani
GD00_37-51.pdf,GD00,An Experimental Comparison of Orthogonal Compaction Algorithms (Extended Abstract),10.1007/3-540-44541-2_5,37-51,Gunnar W. Klau; Karsten Klein; Petra Mutzel
GD00_52-62.pdf,GD00,GraphXML - An XML-Based Graph Description Format,10.1007/3-540-44541-2_6,52-62,Ivan Herman; M. Scott Marshall
GD00_63-76.pdf,GD00,On Polar Visibility Representations of Graphs,10.1007/3-540-44541-2_7,63-76,Joan P. Hutchinson
GD00_77-90.pdf,GD00,A Linear Time Implementation of SPQR-Trees,10.1007/3-540-44541-2_8,77-90,Carsten Gutwenger; Petra Mutzel
GD00_91-102.pdf,GD00,Labeling Points with Rectangles of Various Shapes,10.1007/3-540-44541-2_9,91-102,Shin-ichi Nakano; Takao Nishizeki; Takeshi Tokuyama; Shuhei Watanabe
GD00_103-114.pdf,GD00,How to Draw the Minimum Cuts of a Planar Graph (Extended Abstract),10.1007/3-540-44541-2_10,103-114,Ulrik Brandes; Sabine Cornelsen; Dorothea Wagner
GD00_115-126.pdf,GD00,2D-Structure Drawings of Similar Molecules,10.1007/3-540-44541-2_11,115-126,J. D. Boissonnat; F. Cazals; J. Flötotto
GD00_127-138.pdf,GD00,Fast Layout Methods for Timetable Graphs,10.1007/3-540-44541-2_12,127-138,Ulrik Brandes; Galina Shubina; Roberto Tamassia; Dorothea Wagner
GD00_139-149.pdf,GD00,An Algorithmic Framework for Visualizing Statecharts,10.1007/3-540-44541-2_13,139-149,R. Castelló; R. Mili; I. G. Tollis
GD00_150-163.pdf,GD00,Visualization of the Autonomous Systems Interconnections with HERMES,10.1007/3-540-44541-2_14,150-163,Andrea Carmignani; Giuseppe Di Battista; Walter Didimo; Francesco Matera; Maurizio Pizzonia
GD00_164-169.pdf,GD00,Drawing Hypergraphs in the Subset Standard (Short Demo Paper),10.1007/3-540-44541-2_15,164-169,François Bertault; Peter Eades
GD00_171-182.pdf,GD00,A Multilevel Algorithm for Force-Directed Graph Drawing,10.1007/3-540-44541-2_17,171-182,C. Walshaw
GD00_183-196.pdf,GD00,A Fast Multi-scale Method for Drawing Large Graphs,10.1007/3-540-44541-2_18,183-196,David Harel; Yehuda Koren
GD00_197-210.pdf,GD00,"FADE: Graph Drawing, Clustering, and Visual Abstraction",10.1007/3-540-44541-2_19,197-210,Aaron Quigley; Peter Eades
GD00_211-221.pdf,GD00,A Multi-dimensional Approach to Force-Directed Layouts of Large Graphs,10.1007/3-540-44541-2_20,211-221,Pawel Gajer; Michael T. Goodrich; Stephen G. Kobourov
GD00_222-228.pdf,GD00,GRIP: Graph dRawing with Intelligent Placement,10.1007/3-540-44541-2_21,222-228,Pawel Gajer; Stephen G. Kobourov
GD00_229-240.pdf,GD00,A Fast Layout Algorithm for k-Level Graphs,10.1007/3-540-44541-2_22,229-240,Christoph Buchheim; Michael Jünger; Sebastian Leipert
GD00_241-252.pdf,GD00,Graph Layout for Displaying Data Structures,10.1007/3-540-44541-2_23,241-252,Vance Waddle
GD00_253-258.pdf,GD00,k-Layer Straightline Crossing Minimization by Speeding Up Sifting,10.1007/3-540-44541-2_24,253-258,Wolfgang Günther; Robby Schönfeld; Bernd Becker; Paul Molitor
GD00_259-271.pdf,GD00,Lower Bounds for the Number of Bends in Three-Dimensional Orthogonal Graph Drawings,10.1007/3-540-44541-2_25,259-271,David R. Wood
GD00_272-283.pdf,GD00,Orthogonal Drawings of Cycles in 3D Space (Extended Abstract),10.1007/3-540-44541-2_26,272-283,Giuseppe Di Battista; Giuseppe Liotta; Anna Lubiw; Sue Whitesides
GD00_284-295.pdf,GD00,Three-Dimensional Orthogonal Graph Drawing with Optimal Volume,10.1007/3-540-44541-2_27,284-295,Therese Biedl; Torsten Thiele; David R. Wood
GD00_296-307.pdf,GD00,A Linear-Time Algorithm for Bend-Optimal Orthogonal Drawings of Biconnected Cubic Plane Graphs (Extended Abstract),10.1007/3-540-44541-2_28,296-307,Shin-ichi Nakano; Makiko Yoshikawa
GD00_308-320.pdf,GD00,Refinement of Three-Dimensional Orthogonal Graph Drawings,10.1007/3-540-44541-2_29,308-320,Benjamin Y. S. Lynn; Antonios Symvonis; David R. Wood
GD00_321-327.pdf,GD00,w-Searchlight Obedient Graph Drawings,10.1007/3-540-44541-2_30,321-327,Gill Barequet
GD00_328-337.pdf,GD00,Unavoidable Configurations in Complete Topological Graphs,10.1007/3-540-44541-2_31,328-337,János Pach; Géza Tóth
GD00_338-349.pdf,GD00,Minimum Weight Drawings of Maximal Triangulations (Extended Abstract),10.1007/3-540-44541-2_32,338-349,William Lenhart; Giuseppe Liotta
GD00_350-359.pdf,GD00,A Layout Algorithm for Bar-Visibility Graphs on the Möbius Band,10.1007/3-540-44541-2_33,350-359,Alice M. Dean
GD00_360-371.pdf,GD00,An Algorithm for Finding Three Dimensional Symmetry in Trees,10.1007/3-540-44541-2_34,360-371,Seok-Hee Hong; Peter Eades
GD00_372-383.pdf,GD00,On Maximum Symmetric Subgraphs,10.1007/3-540-44541-2_35,372-383,Ho-Lin Chen; Hsueh-I. Lu; Hsu-Chun Yen
GD00_384-395.pdf,GD00,Clan-Based Incremental Drawing,10.1007/3-540-44541-2_36,384-395,Fwu-Shan Shieh; Carolyn L. McCreary
GD00_396-406.pdf,GD00,The Marey Graph Animation Tool Demo,10.1007/3-540-44541-2_37,396-406,Carsten Friedrich; Peter Eades
GD01_15-29.pdf,GD01,A Fixed-Parameter Approach to Two-Layer Planarization,10.1007/3-540-45848-4_1,15-29,V. Dujmović; M. Fellows; M. Hallett; M. Kitching; Giuseppe Liotta; C. McCartin; N. Nishimura; P. Ragde; F. Rosamond; M. Suderman; S. Whitesides; David R. Wood
GD01_30-44.pdf,GD01,How to Layer a Directed Acyclic Graph,10.1007/3-540-45848-4_2,30-44,Patrick Healy; Nikola S. Nikolov
GD01_45-58.pdf,GD01,Fast and Simple Horizontal Coordinate Assignment,10.1007/3-540-45848-4_3,45-58,Ulrik Brandes; Boris Köpf
GD01_59-73.pdf,GD01,Automated Visualization of Process Diagrams,10.1007/3-540-45848-4_4,59-73,Janet M. Six; Ioannis G. Tollis
GD01_74-88.pdf,GD01,Planarization of Clustered Graphs,10.1007/3-540-45848-4_5,74-88,Giuseppe Di Battista; Walter Didimo; A. Marcandalli
GD01_89-97.pdf,GD01,An Algorithm for Finding Large Induced Planar Subgraphs,10.1007/3-540-45848-4_6,89-97,Keith Edwards; Graham Farr
GD01_98-109.pdf,GD01,A Characterization of DFS Cotree Critical Graphs,10.1007/3-540-45848-4_7,98-109,Hubert de Fraysseix; Patrice Ossona de Mendez
GD01_110-115.pdf,GD01,An Improved Lower Bound for Crossing Numbers,10.1007/3-540-45848-4_8,110-115,Hristo Djidjev; Imrich Vrt’o
GD01_116-128.pdf,GD01,Crossing-Critical Graphs and Path-Width,10.1007/3-540-45848-4_9,116-128,Petr Hliněný
GD01_129-137.pdf,GD01,One Sided Crossing Minimization Is NP-Hard for Sparse Graphs,10.1007/3-540-45848-4_10,129-137,Xavier Muñoz; W. Unger; Imrich Vrt’o
GD01_138-152.pdf,GD01,Fast Compaction for Orthogonal Drawings with Vertices of Prescribed Size,10.1007/3-540-45848-4_11,138-152,Markus Eiglsperger; Michael Kaufmann
GD01_153-167.pdf,GD01,Labeling Heuristics for Orthogonal Drawings,10.1007/3-540-45848-4_12,153-167,Carla Binucci; Walter Didimo; Giuseppe Liotta; Maddalena Nonato
GD01_168-175.pdf,GD01,Untangling a Polygon,10.1007/3-540-45848-4_13,168-175,János Pach; Gábor Tardos
